Designator,Footprint,Quantity,Value,LCSC Part #
"_27, _26, _25, _24, _23, _22, _21, _20, _19, _18, _17, _16, _15, _14, _13, _12, _11, _10, _9, _8, _7, _6, _5, _4, _3, _2, ",,27,,
"5V1_9, 5V1_8, 5V1_7, 5V1_6, 5V1_5, 5V1_4, 5V1_3, 5V1_2, 5V1, GND1_9, GND1_8, GND1_7, GND1_6, GND1_5, GND1_4, GND1_3, GND1_2, GND1, I1_9, I1_8, I1_7, I1_6, I1_5, I1_4, I1_3, I1_2, I1, I10_9, I10_8, I10_7, I10_6, I10_5, I10_4, I10_3, I10_2, I10, I11_9, I11_8, I11_7, I11_6, I11_5, I11_4, I11_3, I11_2, I11, I12_9, I12_8, I12_7, I12_6, I12_5, I12_4, I12_3, I12_2, I12, I2_9, I2_8, I2_7, I2_6, I2_5, I2_4, I2_3, I2_2, I2, I3_9, I3_8, I3_7, I3_6, I3_5, I3_4, I3_3, I3_2, I3, I4_9, I4_8, I4_7, I4_6, I4_5, I4_4, I4_3, I4_2, I4, I5_9, I5_8, I5_7, I5_6, I5_5, I5_4, I5_3, I5_2, I5, I6_9, I6_8, I6_7, I6_6, I6_5, I6_4, I6_3, I6_2, I6, I7_9, I7_8, I7_7, I7_6, I7_5, I7_4, I7_3, I7_2, I7, I8_9, I8_8, I8_7, I8_6, I8_5, I8_4, I8_3, I8_2, I8, I9_9, I9_8, I9_7, I9_6, I9_5, I9_4, I9_3, I9_2, I9",TestPoint_Pad_2.0x2.0mm,126,TestPoint_Alt,
"C1_9, C1_8, C1_7, C1_6, C1_5, C1_4, C1_3, C1_2, C1, C2_9, C2_8, C2_7, C2_6, C2_5, C2_4, C2_3, C2_2, C2, C3_9, C3_8, C3_7, C3_6, C3_5, C3_4, C3_3, C3_2, C3, C5_9, C5_8, C5_7, C5_6, C5_5, C5_4, C5_3, C5_2, C5, C7_9, C7_8, C7_7, C7_6, C7_5, C7_4, C7_3, C7_2, C7",0805,45,1u,
"C10_9, C10_8, C10_7, C10_6, C10_5, C10_4, C10_3, C10_2, C10, C11_9, C11_8, C11_7, C11_6, C11_5, C11_4, C11_3, C11_2, C11, C12_9, C12_8, C12_7, C12_6, C12_5, C12_4, C12_3, C12_2, C12, C13_9, C13_8, C13_7, C13_6, C13_5, C13_4, C13_3, C13_2, C13, C14_9, C14_8, C14_7, C14_6, C14_5, C14_4, C14_3, C14_2, C14, C15_9, C15_8, C15_7, C15_6, C15_5, C15_4, C15_3, C15_2, C15, C16_9, C16_8, C16_7, C16_6, C16_5, C16_4, C16_3, C16_2, C16, C17_9, C17_8, C17_7, C17_6, C17_5, C17_4, C17_3, C17_2, C17, C18_9, C18_8, C18_7, C18_6, C18_5, C18_4, C18_3, C18_2, C18, C4_9, C4_8, C4_7, C4_6, C4_5, C4_4, C4_3, C4_2, C4, C8_9, C8_8, C8_7, C8_6, C8_5, C8_4, C8_3, C8_2, C8, C9_9, C9_8, C9_7, C9_6, C9_5, C9_4, C9_3, C9_2, C9",0805,108,4u7,
"J1_9, J1_8, J1_7, J1_6, J1_5, J1_4, J1_3, J1_2, J1, J2_9, J2_8, J2_7, J2_6, J2_5, J2_4, J2_3, J2_2, J2, J3_9, J3_8, J3_7, J3_6, J3_5, J3_4, J3_3, J3_2, J3",PinHeader_1x02_P2.54mm_Vertical,27,Conn_01x02_Pin,
"R1_9, R1_8, R1_7, R1_6, R1_5, R1_4, R1_3, R1_2, R1",0805,9,1k,
"R10_9, R10_8, R10_7, R10_6, R10_5, R10_4, R10_3, R10_2, R10, R11_9, R11_8, R11_7, R11_6, R11_5, R11_4, R11_3, R11_2, R11, R12_9, R12_8, R12_7, R12_6, R12_5, R12_4, R12_3, R12_2, R12, R13_9, R13_8, R13_7, R13_6, R13_5, R13_4, R13_3, R13_2, R13, R14_9, R14_8, R14_7, R14_6, R14_5, R14_4, R14_3, R14_2, R14, R17_9, R17_8, R17_7, R17_6, R17_5, R17_4, R17_3, R17_2, R17, R18_9, R18_8, R18_7, R18_6, R18_5, R18_4, R18_3, R18_2, R18, R19_9, R19_8, R19_7, R19_6, R19_5, R19_4, R19_3, R19_2, R19, R2_9, R2_8, R2_7, R2_6, R2_5, R2_4, R2_3, R2_2, R2, R20_9, R20_8, R20_7, R20_6, R20_5, R20_4, R20_3, R20_2, R20, R21_9, R21_8, R21_7, R21_6, R21_5, R21_4, R21_3, R21_2, R21, R22_9, R22_8, R22_7, R22_6, R22_5, R22_4, R22_3, R22_2, R22, R23_9, R23_8, R23_7, R23_6, R23_5, R23_4, R23_3, R23_2, R23, R24_9, R24_8, R24_7, R24_6, R24_5, R24_4, R24_3, R24_2, R24, R25_9, R25_8, R25_7, R25_6, R25_5, R25_4, R25_3, R25_2, R25, R26_9, R26_8, R26_7, R26_6, R26_5, R26_4, R26_3, R26_2, R26, R27_9, R27_8, R27_7, R27_6, R27_5, R27_4, R27_3, R27_2, R27, R28_9, R28_8, R28_7, R28_6, R28_5, R28_4, R28_3, R28_2, R28, R3_9, R3_8, R3_7, R3_6, R3_5, R3_4, R3_3, R3_2, R3, R4_9, R4_8, R4_7, R4_6, R4_5, R4_4, R4_3, R4_2, R4, R5_9, R5_8, R5_7, R5_6, R5_5, R5_4, R5_3, R5_2, R5, R6_9, R6_8, R6_7, R6_6, R6_5, R6_4, R6_3, R6_2, R6, R7_9, R7_8",0805,200,10k,
"R7_7, R7_6, R7_5, R7_4, R7_3, R7_2, R7, R8_9, R8_8, R8_7, R8_6, R8_5, R8_4, R8_3, R8_2, R8, R9_9, R9_8, R9_7, R9_6, R9_5, R9_4, R9_3, R9_2, R9",0805,25,10k,
"U1_9, U1_8, U1_7, U1_6, U1_5, U1_4, U1_3, U1_2, U1",ESP32-C3-WROOM-02,9,ESP32-C3-WROOM-02,
"U2_9, U2_8, U2_7, U2_6, U2_5, U2_4, U2_3, U2_2, U2",SOT-23-5,9,AP2112K-3.3,
